>>> GraphicConverter ::: v11.2.2 - August 5, 2020 ::: https://www.lemkesoft.de/en/products/graphicconverter/
>>> Formats: https://www.lemkesoft.de/en/products/graphicconverter/key-features/import-and-export-formats/
>>> JS Code to rip formats: Array.from(document.querySelectorAll("#c315 table tr")).map(tr => Array.from(tr.querySelectorAll("td")).map(td => td.textContent.trim())).join("\n")
Format,Import,Export,Metadata *),Comment
PAC STAD,X,-,-,Black & white 640 x 400 pixel images of the ATARI application STAD.
PaperPort (MAX),X,-,-,Archive format from Visioneer Paperport. Supports 1, 4, 8 and 32 bit. Can be multipage.
PBM/PGM/PPM,X,X,-,Standard UNIX file format for easy exchange of images.Support 1, 8 or 24 bit per pixel.The files can be encoded binary or ASCII
PCD,X,-,-,Kodak PhotoCD format
PCX,X,X,-,Format of PC-Paintbrush.Support 1, 4 and 8 bit per pixel. The new variant supports 24 bit per pixel, too.
PIC (32K),X,-,-,Black & white 640 x 400 pixel image of the ATARI..
PIC,X,-,-,B&W ATARI image format (640x400 pixel)
PIC,X,-,-,Format from PC Paint
PIC,X,X,-,Format of the Psion.Supports 1 or 2 bit per pixel.
PICS,X,X,-,Animations PICT.
PICT,X,X,ICC,standard Mac OS file formatcontains vector and/or bitmap images
PICT resource,X,X,-,PICT that is written/read from the resource fork of a file
PDB,X,X,-,Palm Pilot database format.GraphicConverter supports currently the following variants
           FireViewer
            TealPaint
            ScreenShot Hack
            Tiny Viewer
            JPEG PDB
PDF,X 7),X 7),-,Portable Document File format
PDS3,X,-,-,*.IMQ files with MOC compression
PEF,X,-,-,see Photo Raw
PFM,X,-,-,Open Source Format
PGC/PGF,X,X,-,-
Photo PDB,X,X,-,(JPEG)
Photostudio,X,-,-,Format used under Mac OS 9
PGPF,X,X,-,Sony Clie file format
PGC/PGF,X,-,-,-
Photo Raw,X,-,-,Many digital cameras can create raw files.The following formats are supported:
           CRW - Canon
            CR2 - Canon
            NEF - Nikon
            DCR - Kodak
            ORF - Olympus
            X3F - Sigma
            RDC - Rollei
            RAF - Fuji
            SRF - Sony
            PEF - Pentax
            MRW - Konica/Minolta
PIX,X,-,-,Modified BMP format used by some iPod games
PM,X,-,-,Format of the UNIX xv application.
PNG,X,X,ICC, XMP, COM,New internet file format.It supports 1, 2, 4, 8 and 24 bits per pixel.
PoRST,X,-,-,Photo on disk format.Variant of the JPEG format.
PowerPoint,X,-,-,Format of scanners with automatic feed
Ppat,X,X,-,-
PSD,X,X,IPTC, XMP, ICC,Photoshop 3.x or later file format.Supports 1, 8, 24 bit per pixel.
PSP,X,-,-,Paintshop Pro file format
PTG,X,-,-,ArtRage
PWP,X,-,-,Format of a developing service
Pxx - Degas,X,-,-,Atari Degas program format 320 x 200 pixels, 16 colors (*.PI1, *.PC1) 640 x 200 pixels, 4 colors (*.PI2, *.PC2) 640 x 400 pixels, 2 colors (*.PI3, *.PC3)
QDV,X,-,-,Giffer formatSupports 1, 4 and 8 bits per pixel.
QNT,X,-,-,-
QTIF,X 5),-,-,QuickTime image format.
QTL,X,X,-,-
RAF,X,-,-,see Photo Raw
RAW,X,X,-,You
           can use the raw filter to import raw data. You have to specify the
           width, height and color depth during opening or saving such a file.
RDC,X,-,-,see Photo Raw
RIFF,X,-,-,Contains color and black & white images (format of the Painter software)
RLA,X,-,-,-
RLE,X,-,-,Images of the Utah Raster toolkit.
RSB,X,X,-,sprite and background format in games
RTF,-,X,-,Rich Text Format.
RW2,X,-,-,-
SCR,X,-,-,Sinclair screenshots. Bitte beachten Sie, dass die Endung SCR auch vom Capture Tool von Word für DOS verwendet wird.
SCR,X,X,-,Images of the capture tool of word for DoS. The format is identical with PCX.
Scrap,X,-,-,-
ScreenShot Hack PDB,X,-,-,Palm OS ScreenShots; support for Handera and Sony CLIE (V1.5)
SCX,X,-,-,Format of ColoRIXSupports 8 bit per pixel
SFF,X,-,-,Structured Fax File format.
SFW,X,X,-,Seattle Filmworks photo on disk format.Variant of the JPEG format.
SGI,X,-,-,Silicon Graphics Image format.Supports 256 grays or 24 bit.
SHP,X,-,-,Format of the image library of Lighting Press or Printmaster.Support 1 bit per pixel.
SHS,X,-,-,-
SIGMA SD10 raw,X,-,-,RAW-Format of the camera Sigma SD 10
