>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
QuickTime Image Format - MPEG-4	image/qtif, image/x-quicktime	qif, qtif	No	No	No	No	No
QuickTime Image Format - PNG	image/qtif, image/x-quicktime	qif, qtif	Yes	Yes	Yes	No	No
QuickTime Image Format - Raw	image/qtif, image/x-quicktime	qif, qtif	Yes	No	Yes	No	No
Radiance	image/vnd.radiance	hdr, img, pic, rad, rgbe, xyze	Yes	No	No	Yes	No
Raw Teletext	text/x-raw-teletext	bin	Yes	No	No	No	No
Saracen Paint	image/x-saracen-paint	sar	Yes	No	No	No	No
Scalable Vector Graphics (SVG)	application/svg+xml, image/svg, image/svg+xml	svg, svg.gz, svgz	Yes	Using third party loader	No	Yes	Yes
Silicon Graphics Image (SGI)	image/x-rgb, image/x-sgi	bw, rgb, rgba, sgi	Yes	No	No	Yes	Yes
Spectrum 512 compressed	image/x-spectrum512-compressed	spc	Yes	No	Yes	No	No
Spectrum 512 uncompressed	image/x-spectrum512-uncompressed	spu	Yes	No	Yes	No	No
ST Aided Design (STAD)	image/x-stad	pac, seq	Yes	No	No	No	No
Stardent Application Visualization System X (AVS X)	image/x-avsx	avs, mbfavs, x	Yes	No	No	Yes	No
STOS Memory Bank	application/x-stos-memorybank	mbk, mbs	Yes	No	Partial	No	No
STOS Icon Bank	application/x-stos-memorybank	mbk, mbs	Yes	No	Yes	No	No
STOS Screen	application/x-stos-memorybank	mbk, mbs	Yes	No	No	No	No
STOS Sprite Bank	application/x-stos-memorybank	mbk, mbs	Yes	No	Yes	No	No
STOS Picture Packer	image/x-stos-picturepacker	pac, pp1, pp2, pp3	Yes	No	No	No	No
Sun Rasterfile	image/x-cmu-raster, image/x-sun-raster	ras, rast, rs, scr, sr, sun	Yes	Dropped	Partial	Partial	Yes
Sun Rasterfile 1-bit	image/x-cmu-raster, image/x-sun-raster	im1	Yes	No	Yes	No	Yes
Sun Rasterfile 8-bit	image/x-cmu-raster, image/x-sun-raster	im8	Yes	No	Yes	No	Yes
